Sample,X6_SL,LSTc,DSLNH,DFLNH,X2_FL,X3_FL,X3_SL,DFLac,DFLNT,DSLNT,FDSLNH,FLNH,LNFP_I,LNFP_II,LNFP_III,LNH,LNnT,LNT,LSTb,z6DDL
14HM100.M,-0.266921598,0.084625048,-0.540846473,-0.39377909,1.4691995608635604,0.6859259427299048,-0.15780816,-0.353635479,-0.350041455,-1.29387423,-0.758215424,-0.475521482,-0.672392498,-0.292274784,-0.556669244,-0.413313022,-0.54263578,-0.86425849,-1.44804216,-1.116922113
14HM101.M,-0.375113746,-0.26220493,-0.617107305,-0.327547931,0.593918045,-0.704677969,-0.35897208,-0.60326677,-0.824197296,-1.262733925,0.35750615543491426,-0.086174609,-1.145179173,0.802259909,0.7826796162841407,0.017121038868643888,-0.326174753,-0.923606777,-1.297132744,-1.581973913
14HM102.M,2.7639285540878094,3.095739861080303,0.6539065714641665,-0.074971479,0.44861923534049286,-0.364033298,-0.3591061,-0.702632748,0.3494528511543096,-0.724390564,-1.215722092,1.1803215421519548,0.23520334500125592,-0.945084565,-0.521668838,-0.289461712,-0.342966511,0.4640207928176115,-0.793448071,6.4386035079198445
14HM103.M,3.5833076766561294,2.640656889364861,0.45843340284276424,-0.372450412,-0.549693073,-1.143213576,-1.051989155,-0.862441685,-0.17047948,-0.150641103,-0.48384658,0.7163871453263343,-0.328462844,0.17150170031495268,0.418675396,0.023212087,0.6172167467601255,1.1097097491466856,-0.293683123,6.309947557102992
14HM104.M,0.8929099907491684,0.3967720288279859,-0.446177853,-0.526241407,0.41068937997540383,-1.0922945,0.1074172882024853,-0.264748775,-0.122192666,-0.918484248,-0.08445745,-0.308445429,-1.131054205,0.25651814309652826,-0.463334829,-0.661015641,-0.879997466,-0.666657603,-1.33241027,0.31726275940032617
14HM105.M,0.6612571454689341,-0.636012154,-0.574630387,0.9860769869089712,-0.584872624,-0.49227992,-0.603400454,-0.225377599,-0.857592192,-0.964867511,0.26886805539958664,0.15609051543928332,-0.257740388,0.5774376375521718,2.0961851794860817,-0.545769772,-0.404241128,-0.262187237,-0.64700025,0.43669159167734395
14HM106.M,3.7965877977990194,3.778472836236349,2.914182209914109,0.32966110636030443,-0.625139273,-0.637302242,-0.889403455,-0.311901101,-1.129657713,-0.813042935,0.12254054259293609,2.4328302685840026,-0.898951874,-1.338717059,0.8714373120482691,-0.457372685,0.20899786200998346,0.9613127269137498,-2.414435852,10.818903950309782
14HM107.M,1.612622977,0.4587810249739699,-0.350632672,-0.077216603,0.095077355,-1.130977209,-0.856722112,-0.723778427,0.17786484527402852,-0.99740146,-0.385857707,1.2310410582036306,-0.105794711,-0.191170401,0.12233862758086421,0.039454882,0.17483024718019471,0.5626511838291635,-1.600911438,1.6435547272460067
14HM108.M,-0.747612257,-0.115064939,-0.646033828,-0.646355543,2.5900230755657914,1.3289272972026398,1.371359279016783,0.963010517,-0.553673004,-0.82676965,-1.394805205,-0.811165338,-1.284030277,-1.454905844,-1.025674681,-1.117844243,-1.494575812,-1.648710204,-1.514677486,-2.155066567
14HM109.M,4.016076269559096,2.265449912684925,0.43564280919183845,-0.468990745,-0.78272787,-1.225315652,-0.896392012,-0.70001293,1.0520481454558386,-0.227425417,-0.760918565,-0.044405595,-0.552197012,0.7700840282844155,-0.356000251,-0.715835074,-0.117956953,1.3187041466521985,-0.503388415,6.248178246685828
14HM11.M,1.9798294798539697,-0.173920936,-0.320829588,-0.490319423,-0.884344253,-0.634022817,-0.742671149,-0.046181049,0.5381701244030179,0.7716238299531067,0.029750270451832875,-0.330821686,-0.558992988,1.5295457585811665,2.878037241215386,-0.492496646,0.1980334038179272,1.537051426063979,-0.52298704,0.9947595334233323
14HM110.M,0.005616775,0.263295037,-0.063120567,-0.190595366,1.7265064955466916,0.41435753764872485,-0.167993675,-0.535338615,-0.489142919,-1.018730436,0.3135801089938827,-0.56353476,-0.844956969,-0.121409763,-0.722337831,-0.663045991,-1.14378072,-1.091618547,-1.789058242,0.015195879117904333
14HM111.M,2.835664652,0.24437703829972052,-0.473351253,-0.00312751,-1.216471724,-1.473990209,-0.707557926,-0.874979389,1.158072403822484,0.027669138,-0.960275238,-0.593369769,2.3118401987455135,-0.487549093,-0.475001631,-1.294484636,0.7829971948428738,2.728098423727617,2.7343045030601614,2.603562927729011
14HM112.M,0.5680395456691563,0.5691360181151277,-0.644280705,-0.35448942,0.1572793482407408,-0.922169526,-0.643764438,-0.68073855,0.556333054,-1.040912572,-0.602784798,-0.104075614,-0.142439676,0.43806222727447713,0.39067507175357374,-0.764563458,-0.285874534,0.21897528687339368,-1.20893893,0.13840543886323253
14HM113.M,-0.129917411,0.5638810184417392,-0.636391654,-0.305096691,0.10858661806559725,-0.437846222,-0.103396067,-0.131699415,0.22231234077313733,-0.691543941,0.465631808,-0.202531145,-1.01205801,1.0693751922691466,1.8163582664451003,0.319643091,-0.049263397,-0.536737571,-0.899280648,-0.507524737
14HM115.M,0.005910776,-0.625850908,-0.51191995,0.5255991974417376,2.3389140722387944,0.10844836041338457,-0.743475268,-0.511198858,-2.31016124,-1.193201462,-0.72848087,-0.826082843,2.0489292315716545,-0.549404449,0.43034219828345266,-1.164542278,0.8129170547178451,-1.244495653,-0.705254256,-0.606260885
14HM116.M,0.7803078364816168,3.4751508374989504,0.717895546,0.26965505881902513,0.5874232070287824,0.41554170220576514,-0.072839522,-0.831752381,0.30973067079131844,-0.863882069,-1.55902104,-0.570993512,2.5415708157793366,-1.565441088,-1.116675736,-1.229513457,-0.323427011,-0.745051759,0.23156003813535506,5.2430092787452045
14HM117.M,0.9040820060550874,1.490862960827465,0.23841651798190341,-0.425210826,0.077708301,-0.464687285,-0.568579255,-0.692714863,0.3625951338766373,-1.259321288,-0.187852606,0.027198427212389627,-0.405617152,-0.574368494,-0.731671273,-0.267127869,0.49845322133804615,-0.756275217,-1.830215355,2.2081506585630466
14HM118.M,2.853446499847304,-0.225414002,-0.649814082,-0.764365361,-0.586991921,-0.65471634,-1.108741008,-0.328829612,-1.212772234,-0.314678762,-1.825191212,-0.342376348,-0.377503855,-2.453860776,0.6405294338561723,-1.270310184,2.9634126818549116,3.111482720293092,1.866293176974061,1.2138530547235582
14HM119.M,0.7000457265206724,0.9012519974732788,-0.588180783,0.1428055515191719,-0.576229127,-0.935984779,-0.504785767,-0.632833294,0.5675556779057509,-0.842979672,1.1434444940644477,-0.28010217,-0.547266599,1.434682386864041,3.559378473375657,-0.405191624,0.8028419998619873,0.9093880239542577,-1.21677838,1.1559224930018321
14HM12.M,-0.097871367,-0.26745993,-0.671454105,-0.472358431,0.3136379398778431,0.4605399553732861,-0.469538525,-0.003889691,0.1946987804464483,0.049851273739987795,-0.789301549,-0.782822079,0.2368023980200529,-0.141935756,0.01267069,-0.902627213,-0.696509346,-0.406987591,-1.144263466,-1.509143833
14HM120.M,-0.342125567,0.10084506947791073,-0.907173652,0.4143599296569065,-0.521293705,-0.568502282,0.14493977105032801,-0.188699158,-0.190084919,-0.670327833,-0.778386698,-0.574790346,-1.5369838,1.7782939311627395,2.7545846700067904,-0.631009821,0.8590428753472551,-0.918755063,-0.438442849,-0.73409422
14HM121.M,-0.649122122,0.5565240188989955,-0.623243234,-0.486951737,0.9964866765336822,0.6373751958912633,1.7702026004740357,0.8600890707938477,0.11584508411248115,-0.663389692,-0.960275238,-0.729119062,-0.893328323,-0.539834898,-0.505335316,-1.050842715,-1.13859054,-1.29534132,-1.028631576,-1.202793074
14HM122.M,-0.454918003,0.43598193898939186,-0.869581804,0.7002184582829388,-0.544605976,0.090093187,2.536254068266974,-0.041985395,-0.481085403,-0.149949096,-0.550566016,-0.651242318,-0.211106825,0.5600530586268955,0.3035287467650033,-0.916721835,-0.927509837,-1.047939102,-1.645601365,-0.18829941
14HM123.M,0.7544358010363306,-0.559637912,-0.638144776,1.5055958334839654,0.5487881977968279,-1.130187766,-1.067803507,-0.955445247,-2.045395926,-1.185096451,0.018937705174040347,-0.485963735,1.5276379474438606,-0.385196507,1.8910257987366366,-0.878263021,1.320028149129346,0.6859391725936035,-0.338759961,1.0622489465071068
14HM126.M,-0.276917612,0.3189980336618367,-0.624119796,-0.289380823,0.8718600089055337,0.43212000600432526,-0.563218458,-0.793765011,-0.192777061,-1.030248083,-0.73861765,-0.391983455,-0.169490323,-0.434569841,-0.239332232,-0.803140095,2.1086301701196573,-1.11950714,-1.495078861,-0.871420197
14HM127.M,-0.327485681,0.6553180127586987,-0.663565054,-0.22090454,-0.183681103,-0.796253361,-0.422363508,-0.713486283,1.023843920737135,-0.730789257,-0.483170795,-0.703759304,-0.189211977,0.5635758989177495,0.6566781555421726,-0.289461712,2.1290855845239745,-0.121469615,-1.436282984,-0.556637262
14HM128.M,-0.266627598,-0.044647944,-0.589933905,-0.326425369,0.7569199286064339,0.089501728,-0.392477063,-0.364676144,-0.525911778,-0.787097754,-0.133789779,-0.664973792,-0.282090307,-0.283814746,0.1246719879649746,-0.366614987,0.482882682,-0.882454097,-1.007073088,-1.227634816
14HM129.M,-0.572623746,0.047578282270787954,-0.871027645,-0.044425363,-0.623019975,0.7327019427947081,2.2012807697065973,0.009270375,0.005842119,0.020473990689284287,-0.636111331,-0.579377464,-0.783427821,-0.118495664,2.0306572681072423,-0.670472806,-0.632087942,-1.300548765,-0.350071068,-1.440498472
14HM13.M,0.2490491086448908,0.235969039,-0.383942001,-0.502667605,0.202075175,0.021609626,-0.566166896,-0.494170036,0.45016112999282193,-0.715005814,-0.089187948,-0.517290495,-0.971015649,0.8301364258772737,-0.65233702,-0.250885074,-0.285874534,-0.672269333,-1.493118998,-0.401591459
14HM130.M,-0.348947711,-0.193889934,-0.557501137,-0.434191322,0.8183425417465727,-0.432320121,-0.035447961,-0.546940669,-0.484712936,-0.908672919,-0.496010716,-0.800723085,-1.202345319,0.8244501711398438,0.5330100551843152,-0.445798611,-0.429673044,-1.378496943,-1.461761197,-1.534530105
14HM131.M,1.0678402304076366,0.28536603575215047,-0.441795046,0.094535385,0.39469352120597817,-0.177724741,-0.676331282,-0.669136496,-0.103734404,-1.032380981,-0.525069485,-0.223415652,1.0463229887859902,-0.348859953,0.1270053483490853,-0.663045991,1.9272791827142202,0.4395332474630195,-0.979635012,1.0059466048155188
